|6.6.6
PYR-Ringwood88_2.tab                                                                                
           2
T(K)    
   400.00360000000001     
   19.999960000020000     
         181
P(bar)  
   15001.334999999999     
   5114.9322988556905     
         262
           8
T(K)           P(bar)         rho,kg/m3      alpha,1/K      cp,J/K/kg      vp,km/s        vs,km/s        h,J/kg        
  560.0033       20116.27       3512.680      0.2499615E-04   1065.930       8.323527       4.807411     -0.1220468E+08
  580.0032       20116.27       3510.915      0.2526793E-04   1073.789       8.313085       4.800880     -0.1218329E+08
  600.0032       20116.27       3509.132      0.2552731E-04   1081.010       8.302540       4.794292     -0.1216174E+08
  620.0032       20116.27       3507.332      0.2577586E-04   1087.666       8.291898       4.787652     -0.1214005E+08
  640.0031       20116.27       3505.516      0.2601496E-04   1093.821       8.281162       4.780962     -0.1211823E+08
  660.0031       20116.27       3503.685      0.2624581E-04   1099.530       8.270337       4.774224     -0.1209630E+08
  680.0030       20116.27       3501.838      0.2646946E-04   1104.840       8.259426       4.767442     -0.1207426E+08
  700.0030       20116.27       3499.977      0.2668685E-04   1109.795       8.248432       4.760617     -0.1205211E+08
  720.0030       20116.27       3498.102      0.2689877E-04   1114.430       8.237357       4.753752     -0.1202987E+08
  740.0029       20116.27       3496.213      0.2710594E-04   1118.779       8.226204       4.746847     -0.1200754E+08
  760.0029       20116.27       3494.312      0.2730901E-04   1122.870       8.214974       4.739905     -0.1198512E+08
  780.0028       20116.27       3492.397      0.2750854E-04   1126.728       8.203671       4.732926     -0.1196262E+08
  800.0028       20116.27       3501.530      0.2758900E-04   1130.864       8.216265       4.722105     -0.1193728E+08
  820.0028       20116.27       3499.592      0.2777956E-04   1134.302       8.205071       4.715268     -0.1191463E+08
  840.0027       20116.27       3497.642      0.2796792E-04   1137.568       8.193809       4.708399     -0.1189191E+08
  860.0027       20116.27       3495.679      0.2815447E-04   1140.679       8.182478       4.701499     -0.1186913E+08
  880.0026       20116.27       3493.705      0.2833953E-04   1143.649       8.171080       4.694568     -0.1184629E+08
  900.0026       20116.27       3491.719      0.2852340E-04   1146.490       8.159616       4.687607     -0.1182339E+08
  920.0026       20116.27       3489.721      0.2870637E-04   1149.214       8.148086       4.680618     -0.1180043E+08
  940.0025       20116.27       3487.712      0.2888870E-04   1151.832       8.136490       4.673599     -0.1177742E+08
  960.0025       20116.27       3485.691      0.2907061E-04   1154.352       8.124828       4.666553     -0.1175436E+08
  980.0024       20116.27       3483.659      0.2925233E-04   1156.783       8.113101       4.659478     -0.1173124E+08
  1000.002       20116.27       3481.615      0.2943405E-04   1159.133       8.101309       4.652376     -0.1170809E+08
  1020.002       20116.27       3479.560      0.2961598E-04   1161.409       8.089452       4.645247     -0.1168488E+08
  1040.002       20116.27       3477.493      0.2979829E-04   1163.618       8.077530       4.638091     -0.1166163E+08
  1060.002       20116.27       3475.415      0.2998114E-04   1165.765       8.065542       4.630908     -0.1163834E+08
  1080.002       20116.27       3473.325      0.3016470E-04   1167.856       8.053489       4.623698     -0.1161500E+08
  1100.002       20116.27       3471.224      0.3034912E-04   1169.896       8.041370       4.616463     -0.1159162E+08
  1120.002       20116.27       3469.111      0.3053454E-04   1171.889       8.029186       4.609201     -0.1156820E+08
  1140.002       20116.27       3466.987      0.3072111E-04   1173.839       8.016934       4.601912     -0.1154475E+08
  1160.002       20116.27       3464.851      0.3090895E-04   1175.751       8.004616       4.594598     -0.1152125E+08
  1180.002       20116.27       3428.823      0.3117006E-04   1177.706       7.889636       4.518651     -0.1149062E+08
  1200.002       20116.27       3426.679      0.3135589E-04   1179.535       7.877711       4.511474     -0.1146705E+08
  1220.002       20116.27       3424.525      0.3154325E-04   1181.335       7.865722       4.504273     -0.1144344E+08
  1240.002       20116.27       3422.359      0.3173225E-04   1183.109       7.853669       4.497047     -0.1141979E+08
  1260.002       20116.27       3420.181      0.3192302E-04   1184.861       7.841551       4.489796     -0.1139611E+08
  1280.002       20116.27       3417.991      0.3211566E-04   1186.593       7.829366       4.482521     -0.1137240E+08
  1300.002       20116.27       3415.790      0.3231030E-04   1188.307       7.817115       4.475220     -0.1134865E+08
  1320.002       20116.27       3413.577      0.3250704E-04   1190.006       7.804797       4.467895     -0.1132487E+08
  1340.002       20116.27       3411.351      0.3270600E-04   1191.691       7.792411       4.460545     -0.1130105E+08
  1360.002       20116.27       3409.114      0.3290729E-04   1193.364       7.779955       4.453169     -0.1127720E+08
  1380.002       20116.27       3406.864      0.3311103E-04   1195.029       7.767430       4.445768     -0.1125332E+08
  1400.002       20116.27       3404.602      0.3331733E-04   1196.685       7.754833       4.438342     -0.1122940E+08
  1420.002       20116.27       3402.327      0.3352632E-04   1198.336       7.742164       4.430891     -0.1120545E+08
  1440.002       20116.27       3400.039      0.3373810E-04   1199.982       7.729422       4.423413     -0.1118147E+08
  1460.001       20116.27       3397.738      0.3395281E-04   1201.626       7.716606       4.415910     -0.1115745E+08
  1480.001       20116.27       3395.424      0.3417056E-04   1203.269       7.703714       4.408381     -0.1113340E+08
  1500.001       20116.27       3393.097      0.3439150E-04   1204.913       7.690745       4.400825     -0.1110932E+08
  1520.001       20116.27       3390.756      0.3461574E-04   1206.558       7.677698       4.393243     -0.1108521E+08
  1540.001       20116.27       3388.402      0.3484342E-04   1208.207       7.664572       4.385635     -0.1106106E+08
  1560.001       20116.27       3386.034      0.3507469E-04   1209.861       7.651364       4.377999     -0.1103688E+08
  1580.001       20116.27       3369.039      0.3570731E-04   1211.356       7.574310       4.355586     -0.1101096E+08
  1600.001       20116.27       3366.625      0.3596547E-04   1213.057       7.560206       4.347718     -0.1098671E+08
  1620.001       20116.27       3364.196      0.3622826E-04   1214.768       7.546009       4.339822     -0.1096244E+08
  1640.001       20116.27       3361.750      0.3649587E-04   1216.493       7.531717       4.331897     -0.1093812E+08
  1660.001       20116.27       3359.288      0.3676850E-04   1218.231       7.517328       4.323944     -0.1091378E+08
  1680.001       20116.27       3356.809      0.3704636E-04   1219.985       7.502839       4.315962     -0.1088939E+08
  1700.001       20116.27       3354.314      0.3732965E-04   1221.756       7.488250       4.307950     -0.1086498E+08
  1720.001       20116.27       3351.801      0.3761862E-04   1223.545       7.473556       4.299908     -0.1084052E+08
  1740.001       20116.27       3349.270      0.3791349E-04   1225.355       7.458756       4.291836     -0.1081604E+08
  1760.001       20116.27       3346.721      0.3821452E-04   1227.185       7.443848       4.283734     -0.1079151E+08
  1780.001       20116.27       3344.154      0.3852197E-04   1229.040       7.428828       4.275600     -0.1076695E+08
  1800.001       20116.27       3341.568      0.3883613E-04   1230.918       7.413695       4.267435     -0.1074235E+08
  1820.001       20116.27       3338.963      0.3915730E-04   1232.824       7.398444       4.259238     -0.1071771E+08
  1840.001       20116.27       3336.338      0.3948578E-04   1234.758       7.383074       4.251009     -0.1069304E+08
  1860.001       20116.27       3333.693      0.3982192E-04   1236.721       7.367580       4.242747     -0.1066832E+08
  1880.001       20116.27       3268.975      0.4329889E-04   1242.855       7.026945       4.086649     -0.1061756E+08
  1900.001       20116.27       3266.129      0.4378753E-04   1245.291       7.008714       4.078444     -0.1059268E+08
  1920.001       20116.27       3263.254      0.4429029E-04   1247.786       6.990308       4.070203     -0.1056775E+08
  1940.001       20116.27       3260.348      0.4480790E-04   1250.345       6.971722       4.061924     -0.1054276E+08
  1960.000       20116.27       3257.410      0.4534114E-04   1252.971       6.952950       4.053606     -0.1051773E+08
  1980.000       20116.27       3254.440      0.4589084E-04   1255.667       6.933987       4.045250     -0.1049265E+08
  2000.000       20116.27       3251.436      0.4645792E-04   1258.440       6.914825       4.036852     -0.1046750E+08
  2020.000       20116.27       3248.397      0.4704335E-04   1261.292       6.895458       4.028414     -0.1044231E+08
  2040.000       20116.27       3235.006      0.4770291E-04   1262.453       6.810430       3.992727     -0.1040578E+08
  2060.000       20116.27       3231.899      0.4836612E-04   1265.541       6.789834       3.984285     -0.1038050E+08
  2080.000       20116.27       3228.753      0.4905279E-04   1268.732       6.769000       3.975800     -0.1035516E+08
  2100.000       20116.27       3225.564      0.4976437E-04   1272.031       6.747920       3.967268     -0.1032975E+08
  2120.000       20116.27       3222.331      0.5050243E-04   1275.447       6.726583       3.958690     -0.1030428E+08
  2140.000       20116.27       3219.054      0.5126866E-04   1278.986       6.704981       3.950063     -0.1027873E+08
  2160.000       20116.27       3215.729      0.5206494E-04   1282.659       6.683102       3.941386     -0.1025312E+08
  2180.000       20116.27       3212.356      0.5289329E-04   1286.473       6.660935       3.932657     -0.1022742E+08
  2200.000       20116.27       3208.932      0.5375597E-04   1290.440       6.638469       3.923874     -0.1020166E+08
  2220.000       20116.27       3205.456      0.5465543E-04   1294.570       6.615689       3.915036     -0.1017581E+08
