X,Y,Z
-5081358.499313291,594862.0863560376,-3572608.9765985757
-5084155.092667841,570466.5582020871,-3572608.9765985757
-5084238.009886768,569727.0918167093,-3572608.9765985757
-5081100.440631625,594831.8760636918,-3572981.017502284
-5081703.410654288,589658.4559835678,-3572981.017502284
-5080885.596834147,594432.1718294233,-3573353.0395102957
-5081488.160036144,589258.9706020737,-3573353.0395102957
-5078343.402068125,613610.3083236744,-3573725.042611709
-5080627.4822205445,594401.974016971,-3573725.042611709
-5081272.851313403,588859.5166211462,-3573725.042611709
-5082292.86531213,579990.130094773,-3573725.042611709
-5080369.340731862,594371.7730603006,-3574097.0268224203
-5081014.677034177,588829.5972710705,-3574097.0268224203
-5080111.172375663,594341.5689602972,-3574468.992131528
-5080756.475884022,588799.6748069712,-3574468.992131528
-5079852.977159508,594311.3617178451,-3574840.938528142
-5080541.050984202,588400.2833850234,-3574840.938528142
-5084283.277604293,555135.854810851,-3574840.938528142
-5077355.739697124,613116.3471572776,-3575212.866028146
-5078593.651233719,602776.4828154596,-3575212.866028146
-5079334.967469697,596497.4860185308,-3575212.866028146
-5079378.332563398,596128.1047495423,-3575212.866028146
-5079421.6707948195,595758.7203279338,-3575212.866028146
-5079594.75507237,594281.1513316543,-3575212.866028146
-5080368.315184635,587631.4701025125,-3575212.866028146
-5081554.32775996,577285.5243385499,-3575212.866028146
-5077097.604579143,613085.1760381513,-3575584.774620648
-5078335.453179743,602745.8373798266,-3575584.774620648
-5078379.272669056,602376.5287810519,-3575584.774620648
-5078466.831065962,601637.9021170925,-3575584.774620648
-5079076.73172686,596467.1598100037,-3575584.774620648
-5079163.430643945,595728.4316785967,-3575584.774620648
-5079206.739800495,595359.0629748009,-3575584.774620648
-5079336.506121811,594250.9378026095,-3575584.774620648
-5080110.026905922,587601.5946463419,-3575584.774620648
-5078077.2282752,602715.1887573092,-3575956.664294759
-5078818.469129537,596436.8304477896,-3575956.664294759
-5078861.829813607,596067.4867397837,-3575956.664294759
-5078905.163638127,595698.1398794784,-3575956.664294759
-5078948.470592478,595328.7899574663,-3575956.664294759
-5078991.75069722,594959.4367984186,-3575956.664294759
-5079035.003941725,594590.0804929293,-3575956.664294759
-5079894.427759237,587202.2972592637,-3575956.664294759
-5078603.538145613,596037.173006009,-3576328.5350663564
-5079678.770533184,586803.0312333227,-3576328.5350663564
-5076412.140470653,612253.3154307274,-3576700.386924552
-5077997.6174910385,598961.2165483607,-3576700.386924552
-5079463.0552282855,586403.7966663301,-3576700.386924552
-5080604.664190803,576429.1703031876,-3576700.386924552
-5084701.412957106,539097.2855114043,-3576700.386924552
-5077608.502538342,600038.5228193644,-3577072.2198584536
-5077652.125137626,599669.2671817186,-3577072.2198584536
-5077782.831836618,598561.4810712528,-3577072.2198584536
-5079289.883904975,585635.2185255763,-3577072.2198584536
-5079417.528810559,584527.0754455656,-3577072.2198584536
-5079460.023380957,584157.6882928519,-3577072.2198584536
-5077000.224901958,602961.7738908769,-3577444.0338839446
-5077350.154639384,600007.9929564208,-3577444.0338839446
-5077567.98804954,598161.776748324,-3577444.0338839446
-5077785.150142166,596315.4814558113,-3577444.0338839446
-5079286.485529617,583389.2202846735,-3577444.0338839446
-5079961.851241885,577478.8085768077,-3577444.0338839446
-5081987.3718150025,559373.3432520872,-3577444.0338839446
-5084262.395369278,538302.9625239051,-3577444.0338839446
-5076741.867958575,602931.0905436288,-3577815.828990134
-5077091.779888875,599977.4599203366,-3577815.828990134
-5077353.0861300975,597762.1036773857,-3577815.828990134
-5077396.543184212,597392.8666201616,-3577815.828990134
-5077439.97339696,597023.6263150086,-3577815.828990134
-5077483.376757678,596654.3828524975,-3577815.828990134
-5077526.75325573,596285.1363232022,-3577815.828990134
-5079070.421909006,582990.1741167791,-3577815.828990134
-5079324.315860406,580773.9561454761,-3577815.828990134
-5075467.968069159,611390.5195039889,-3578187.6051661344
-5076789.735495036,600316.119896585,-3578187.6051661344
-5078938.980994801,581852.4637456981,-3578187.6051661344
-5082518.580237026,549707.5074808863,-3578187.6051661344
-5082558.542658781,549337.8948167501,-3578187.6051661344
-5082598.478201436,548968.2792474416,-3578187.6051661344
-5082757.95155773,547489.7881350071,-3578187.6051661344
-5076531.309267094,600285.5617213366,-3578559.3624278214
-5081292.75040059,558548.9005508763,-3578559.3624278214
-5081858.780325701,553375.3033943115,-3578559.3624278214
-5083486.135220694,538220.7749605621,-3578559.3624278214
-5074995.666968757,610959.2099562145,-3578931.1007643086
-5076272.856191933,600255.0003714798,-3578931.1007643086
-5081277.271753652,556303.391632427,-3578931.1007643086
-5081317.713844958,555933.8692213594,-3578931.1007643086
-5082320.031923118,546694.8592176198,-3578931.1007643086
-5083227.328065937,538193.3734129444,-3578931.1007643086
-5075839.563309255,601700.9631914103,-3579302.8201647084
-5075883.306819768,601331.8361016485,-3579302.8201647084
-5075927.023486483,600962.7058317446,-3579302.8201647084
-5082061.244090763,546667.0219352982,-3579302.8201647084
-5082693.879716804,540753.4065082725,-3579302.8201647084
-5082968.49403476,538165.9690197501,-3579302.8201647084
-5082119.591136313,543682.616637872,-3579674.520644897
-5082670.4851325005,538508.1854611707,-3579674.520644897
-5081900.255658732,543285.3593574178,-3580046.2021939885
-5074139.316358395,609358.7708395609,-3580417.864801099
-5081956.5635430375,540301.2119873302,-3580417.864801099
-5081105.263542411,545816.6328962002,-3580789.508482098
-5081421.946881473,542860.4735066255,-3580789.508482098
-5081736.91035266,539904.1302897487,-3580789.508482098
-5081477.951909458,539876.6175051389,-3581161.1332261027
-5081517.199401997,539507.0806323221,-3581161.1332261027
-5081556.420030368,539137.5408176356,-3581161.1332261027
-5073407.935683351,608896.6722335799,-3581532.73902223
-5079546.39281685,555366.2598081201,-3581532.73902223
-5081061.715883882,541327.1457178815,-3581532.73902223
-5081218.966599092,539849.1018660537,-3581532.73902223
-5080920.684038724,540191.0798079903,-3581904.32588635
-5081077.604291721,538713.0770287304,-3581904.32588635
-5072934.943092895,608465.6800446279,-3582275.8938075826
-5080700.915351262,539794.0620217369,-3582275.8938075826
-5080779.371473183,539055.0983504881,-3582275.8938075826
-5080481.088919034,539397.0762930784,-3582647.442775042
-5078308.292524467,557099.5661455181,-3583018.972804597
-5078348.792523073,556730.2596426245,-3583018.972804597
-5080221.994121489,539369.5680760744,-3583018.972804597
-5078089.766403259,556701.8630742063,-3583390.4838853674
-5077546.6784613505,559258.2832433324,-3583761.976006474
-5071685.549321823,607941.6972392659,-3584133.449183783
-5077531.139804092,557014.3110923762,-3584133.449183783
-5071426.743004529,607910.6741897764,-3584504.903406412
-5077272.035188386,556985.8868493643,-3584504.903406412
-5076688.019841295,559911.0515881721,-3584876.3386634826
-5077012.903727762,556957.4596614165,-3584876.3386634826
-5070694.351480601,607448.8360310304,-3585619.152317667
-5076291.72989491,558746.4250742738,-3585619.152317667
-5076535.045780061,556531.4218438799,-3585619.152317667
-5078407.5783591885,539176.9306977955,-3585619.152317667
-5070435.435640525,607417.8189523459,-3585990.5306930263
-5076235.348240333,556872.1604240034,-3585990.5306930263
-5070176.492979254,607386.7986605901,-3586361.8901127973
-5075935.601148863,557212.8553220062,-3586361.8901127973
-5069917.52350437,607355.7751566708,-3586733.230566104
-5075595.244639114,557922.6159151989,-3586733.230566104
-5069443.6543696765,606925.0597435458,-3587475.8545565596
-5069228.723375215,606525.4023902932,-3587847.138098692
-5068969.642154479,606494.4037216133,-3588218.402657599
-5068710.534120298,606463.401844746,-3588589.648249131
-5068148.125494078,606769.956147603,-3589332.0824865885
-5076164.89612627,535579.2648785685,-3589332.0824865885
-5076203.831129948,535210.1143047747,-3589332.0824865885
-5076242.739288134,534840.9609005235,-3589332.0824865885
-5076630.344285632,531149.2719667805,-3589332.0824865885
-5076668.957129878,530780.087556355,-3589332.0824865885
-5076938.495267086,528195.7183731026,-3589332.0824865885
-5076976.893312809,527826.5116497227,-3589332.0824865885
-5076870.571487705,526322.7389604809,-3589703.2711374955
-5067585.591862514,607076.4191033652,-3590074.44080427
-5067282.195345719,607413.8682830454,-3590445.591476035
-5067022.933270863,607382.7906020092,-3590816.7231686516
-5075243.273347353,524288.8617842245,-3592301.0600103457
-5073983.071634338,533856.7169069604,-3592672.0967243165
-5074021.881376551,533487.7250044908,-3592672.0967243165
-5074138.149589363,532380.7324653534,-3592672.0967243165
-5065422.628201417,607564.6265439565,-3593043.114447355
-5073762.033708431,533460.40436131,-3593043.114447355
-5073916.996380877,531984.4843223504,-3593043.114447355
-5065118.986358697,607901.8549974976,-3593414.113168595
-5073540.938134236,533064.1240570643,-3593414.113168595
-5073695.785552052,531588.2682604106,-3593414.113168595
-5073773.048263793,530850.3235307374,-3593414.113168595
-5073927.2517033145,529374.4003096473,-3593414.113168595
-5074767.69589252,521256.02539105027,-3593414.113168595
-5063880.509475903,615973.1260078469,-3593785.092877173
-5064815.295477526,608239.0392852988,-3593785.092877173
-5073705.810409016,528978.3130106473,-3593785.092877173
-5074431.866326094,521967.37467784167,-3593785.092877173
-5063531.422341006,616678.0338355654,-3594156.053588933
-5064201.10101221,611154.2120911442,-3594156.053588933
-5064378.664311131,609681.0698391648,-3594156.053588933
-5073098.574112458,532271.6597642304,-3594156.053588933
-5064030.426655726,610386.3678153728,-3594526.99529301
