publicid,eventtype,origintime,modificationtime,longitude,latitude,magnitude,depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2022p939084,earthquake,2022-12-14T11:03:00.384Z,2023-01-09T00:59:16.302Z,-177.8912354,-32.47815704,5.016709743,100,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,24,21,38,6.12708807,288.7073364,1.140484372,0.2252637859
2022p928110,earthquake,2022-12-10T09:36:10.328Z,2023-01-06T03:55:31.227Z,-179.8561096,-32.95698166,5.023199837,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,32,22,27,4.040091038,170.6210938,1.151520102,0.1630662586
2022p921161,earthquake,2022-12-07T19:53:35.497Z,2023-01-06T00:50:17.250Z,-178.4785156,-33.01568604,5.012430616,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,19,17,12,3.77241683,197.9067941,0.8531277873,0.2200267337
2022p910151,earthquake,2022-12-03T18:07:21.382Z,2023-01-04T00:20:01.655Z,-177.7145538,-33.15065002,5.015862344,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,13,11,7,3.880544424,213.4018097,1.153377209,0.08898935043
2022p905983,earthquake,2022-12-02T05:07:49.808Z,2022-12-20T20:56:23.529Z,176.0845337,-38.3939209,5.414094532,157.1112976,MLv,,LOCSAT,confirmed,manual,iasp91,56,39,122,0.1563883424,35.67303467,0.4902372435,0.6060907263
2022p904147,earthquake,2022-12-01T12:48:19.592Z,2022-12-15T00:37:37.283Z,-177.4883881,-33.32079315,5.13103959,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,21,16,6,4.063067913,181.8403168,1.100822987,0.04697211591
2022p901216,earthquake,2022-11-30T10:47:59.057Z,2022-12-08T00:50:32.103Z,175.9560089,-38.85837173,5.74251188,9.143449783,MLv,,LOCSAT,confirmed,manual,iasp91,34,28,40,0.1110479236,26.82459641,0.4343463651,0.2119852337
2022p898120,earthquake,2022-11-29T07:17:57.511Z,2022-11-29T07:45:17.906Z,-177.6613159,-33.37862778,5.609575769,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,33,26,19,4.109880447,178.9517822,1.49971694,0.1274887724
2022p891201,earthquake,2022-11-26T17:51:04.415Z,2022-12-07T03:26:57.137Z,-178.8480835,-32.73569489,5.079572418,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,21,19,9,3.553150177,188.6612339,1.062379627,0.1251623498
2022p867877,earthquake,2022-11-18T02:44:17.613Z,2022-12-06T00:59:45.876Z,-178.0794067,-32.98654556,5.126313048,33,mB,operator assigned,LOCSAT,confirmed,manual,iasp91,19,15,19,3.71539259,205.6325841,1.051191371,0.2851383698
